"Item ID","Title","Brand","Condition","Availability","Price","Currency","Product type","Custom label 0","Custom label 1","Feed label","Channel","Product link"
"2780","Sonix Southern Lenntek Floral Case for Samsung Galaxy S20 Plus 5G","Sonix","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/sonix-southern-lenntek-floral-case-for-samsung-galaxy-s20-plus-5g"
"2781","Axessorize Revolve Phone Clear Case for Motorola Moto E6","Axessorize","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/motorola-covers/axessorize-revolve-phone-clear-case-for-motorola-moto-e6"
"2781","Axessorize Revolve Phone Clear Case for Motorola Moto E6","Axessorize","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/motorola-covers/axessorize-revolve-phone-clear-case-for-motorola-moto-e6"
"2782","Samsung Galaxy S20 Ultra Protective Standing Cover","Samsung","new","in stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-s20-ultra-5g"
"2782","Samsung Galaxy S20 Ultra Protective Standing Cover","Samsung","new","in stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-s20-ultra-5g"
"2783","Samsung Rugged Protective Case Cover for Samsung Galaxy S20 Plus 5G","Samsung","new","in stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-s20-ultra-5g-1"
"2783","Samsung Rugged Protective Case Cover for Samsung Galaxy S20 Plus 5G","Samsung","new","in stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-for-samsung-galaxy-s20-ultra-5g-1"
"2784","Samsung Rugged Protective Case Cover for Galaxy S20 5G","Samsung","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-case-for-galaxy-s20-5g"
"2784","Samsung Rugged Protective Case Cover for Galaxy S20 5G","Samsung","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-rugged-protective-cover-case-for-galaxy-s20-5g"
"2785","Samsung S-View Flip Cover for Samsung Galaxy S20 5G","Samsung","new","out of stock","39.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-s-view-flip-cover-for-samsung-galaxy-s20-5g"
"2785","Samsung S-View Flip Cover for Samsung Galaxy S20 5G","Samsung","new","out of stock","39.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-s-view-flip-cover-for-samsung-galaxy-s20-5g"
"2786","Samsung S-View Flip Cover for Samsung Galaxy Note10","Samsung","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/covers/samsung-s-view-flip-cover-for-samsung-galaxy-note10"
"2786","Samsung S-View Flip Cover for Samsung Galaxy Note10","Samsung","new","out of stock","19.00","AUD","Covers","price_0_100","margin_high","AU","online","https://www.phonebot.com.au/covers/samsung-s-view-flip-cover-for-samsung-galaxy-note10"
"2787","Case-Mate Waterfall Case for Apple iPhone 11 Pro","Case-mate","new","in stock","29.00","AUD","Covers","price_0_100","margin_high","AU","local","https://www.phonebot.com.au/iphone-11-case/case-mate-waterfall-case-for-apple-iphone-11-pro"
