"Matched search term","Campaign name","Ad group name","Branded vs. non-branded search queries","Currency code","Cost","Clicks","Impressions","Conversions","Total conversion value"
"iphone 17 deals australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.22,3,74,0,0
"iphone 17 refurbished australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.19,1,46,0,0
"phonebot refurbished phone","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",2.18,1,4,0,0
"google pixel 7a refurbished","CJ - DSA (All Pages)","Google Phones","non-branded","AUD",2.17,1,4,0,0
"buy iphone air","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.16,1,67,0,0
"iphone refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.16,2,12,0,0
"samsung ultra","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.15,1,27,0,0
"samsung z fold 6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.14,2,157,0,0
"mobile phones direct","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.1399,2,3,0,0
"refurbished samsung watch","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.12,1,2,0,0
"razr 60 ultra scarab","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.11,1,2,0.49,575.28
"samsung s24 plus","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.11,1,8,0,0
"mobile bot","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",2.09,1,2,0,0
"apple iphone 16 plans","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.08,1,1,1,407
"phone bot australia","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",2.08,1,6,0,0
"samsung flip 7 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.08,2,26,0,0
"mac mini","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.06,4,110,0,0
"how much is my phone worth","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",2.05,2,3,0,0
"purchase iphone 15 pro max","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",2.04,1,1,0,0
"z fold 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.04,1,225,0,0
"refurbished samsung s25 ultra price","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.03,1,2,0,0
"google pixel 10 pro 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.02,1,70,0,0
"oppo find n5","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2.02,3,53,0,0
"samsung a55 australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",2.02,1,1,0,0
"phone bot store","CJ - Phonebot (B)","Phonebot","branded","AUD",2.01,1,1,0,0
"apple iphone 14 pro max","SS - All Products >$1000","All Products > $1000","non-branded","AUD",2,1,3,0,0
"phonebot warranty","CJ - Phonebot (B) - Lower ROAS","Phonebot","branded","AUD",1.9973,2,7,0,0
"16 pro max","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.98,1,93,0,0
"s24 ultra refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.98,2,32,0,0
"samsung galaxy z flip 7","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.98,3,108,0,0
"mobile guru","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.9721,2,30,0,0
"samsung s23","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.9654,2,54,0,0
"mac mini m4 with 24gb ram","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.96,1,2,0,0
"phonebot","SS - All Products >$1000","All Products > $1000","branded","AUD",1.95,6,493,0,0
"samsung galaxy s26","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.95,1,4,0,0
"samsung phones australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.95,1,6,0,0
"ipad pro 11 inch 3rd generation refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.9476,1,1,0,0
"s24","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.934,1,4,0,0
"iphone 15 pro 1t","SS - All Products >$1000","All Products > $1000","branded","AUD",1.93,1,7,0,0
"iphone 15 pro max 1t","SS - Excluded Products - >$100","Products >$100","non-branded","AUD",1.92,1,1,0,0
"phone bot","SS - All Products >$1000","All Products > $1000","branded","AUD",1.92,1,102,0,0
"refurbished phones geelong","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.92,2,6,0,0
"mobile phones reservoir","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.9,2,1,0,0
"phonebit","Phonebot (B) Standard Shopping","Apple","branded","AUD",1.9,1,52,0,0
"buy apple iphone air","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.89,1,2,0,0
"iphone air refurbished","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.89,2,71,0.27,417.02
"refurb iphone 16","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.88,1,4,0,0
"refurbished iphones melbourne","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.88,1,16,0,0
"iphone 14 refurbished","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.87,1,5,0,0
"refurbished samsung flip phones","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.87,1,2,0,0
"reservoir phone","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.86,1,1,0,0
"iphone watch","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.8575,1,2,0,0
"iphone 17 digidirect","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.85,1,19,0,0
"iphone 16 plus officeworks","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.8442,1,1,0,0
"google pixel 10 pro xl 5g","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.84,1,9,0,0
"google pixel 10 pro xl 5g 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.83,1,23,0,0
"mobile city australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.83,1,6,0,0
"refurbished ipad near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.8299,2,2,0,0
"buy iphone 16 pro 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.82,1,9,0,0
"samsung s25 refurbished australia","CJ - Refurbished Phones","Refurbished Samsung Phones","non-branded","AUD",1.8,1,1,0,0
"galaxy z fold6","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.79,2,19,0,0
"iphone 16 512gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.79,6,225,0,0
"refurbished 16 pro max","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.79,1,1,0,0
"iphone on sale","CJ - Refurbished Phones","Refurbished iPhones","non-branded","AUD",1.78,1,1,0,0
"samsung galaxy z fold 6 sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.78,2,4,0,0
"refurbished phones near me","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.7685,3,27,0,0
"sell phone","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.7653,5,28,0,0
"galaxy z fold latest","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.76,1,1,0,0
"google pixel 9 pro","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.76,2,94,0,0
"honor magic v2 australia","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.76,1,16,0,0
"refurbished phone melbourne","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.76,2,9,0,0
"motorola razr 60 ultra sale","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.75,2,9,0,0
"pixel 9a price australia","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.75,1,1,0,0
"sell my phone near me","CJ - Sell Phone For Cash (Australia)","Sell Phone For Cash","non-branded","AUD",1.7498,2,9,0,0
"backmarket","CJ - Refurbished Phones","Refurbished Phones","non-branded","AUD",1.7472,2,117,0,0
"google pixel fold","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.74,3,119,0,0
"iphone 16 refurbished 256gb","SS - All Products >$1000","All Products > $1000","non-branded","AUD",1.74,1,10,0,0
